"gene_id","ensembl_gene_id","gene_symbol","gene_type","HT55_baseMean","HT55_log2FC","HT55_pvalue","HT55_padj","HT55_status","SW948_baseMean","SW948_log2FC","SW948_pvalue","SW948_padj","SW948_status","shared_response","joint_padj"
"ENSG00000261801.9","ENSG00000261801","LOXL1-AS1","lncRNA",33.9088724985448,-1.08254615643856,1.75665885083691e-05,7.82585307910496e-05,"Downregulated",33.9088724985448,1.61566549814472,0.00599008211656072,0.0090229439722447,"Upregulated","Discordant_direction",0.0090229439722447
"ENSG00000065717.18","ENSG00000065717","TLE2","protein_coding",28.7739601464493,-1.51982797169234,0.0041176808888805,0.0103563747729358,"Downregulated",28.7739601464493,2.41142299808936,2.78437157206316e-17,1.38520812984344e-16,"Upregulated","Discordant_direction",0.0103563747729358
"ENSG00000151651.18","ENSG00000151651","ADAM8","protein_coding",15.1113353971671,-1.48613916097797,0.0043728451368467,0.010914790169339,"Downregulated",15.1113353971671,2.83685963811064,4.12325370061693e-16,1.88916195476891e-15,"Upregulated","Discordant_direction",0.010914790169339
"ENSG00000187595.20","ENSG00000187595","ZNF385C","protein_coding",10.037660328428,-1.53358201933628,0.000254400748293394,0.000872403133996184,"Downregulated",10.037660328428,1.48398569962855,0.00924801705620982,0.0135966585349085,"Upregulated","Discordant_direction",0.0135966585349085
"ENSG00000302309.1","ENSG00000302309","ENSG00000302309","lncRNA",13.5992147167921,1.13571370159798,0.00665975542560369,0.0157469694285933,"Upregulated",13.5992147167921,-1.59327815627469,0.000659617039871195,0.00111698646200203,"Downregulated","Discordant_direction",0.0157469694285933
"ENSG00000233017.4","ENSG00000233017","ENSG00000233017","lncRNA",5.68171158034709,-3.4489109495021,6.96310015220944e-07,4.19406680822191e-06,"Downregulated",5.68171158034709,2.48675154512123,0.0115877720063779,0.01681822653144,"Upregulated","Discordant_direction",0.01681822653144
"ENSG00000181856.17","ENSG00000181856","SLC2A4","protein_coding",9.95044450961421,-1.63317571209605,0.00913992856758508,0.0207969610302156,"Downregulated",9.95044450961421,1.24794428394395,0.00180955533055523,0.00290249871061498,"Upregulated","Discordant_direction",0.0207969610302156
"ENSG00000165512.7","ENSG00000165512","ZNF22","protein_coding",75.5432333867857,-1.58926228473483,1.04631697006841e-21,4.92312517215303e-20,"Downregulated",75.5432333867857,1.57726962907676,0.0192244472682008,0.0271091456466639,"Upregulated","Discordant_direction",0.0271091456466639
"ENSG00000109790.20","ENSG00000109790","KLHL5","protein_coding",30.7843633684634,2.77796342198782,0.0157351287309796,0.0335384362699477,"Upregulated",30.7843633684634,-1.998948982379,4.28030379420661e-19,2.39776430559112e-18,"Downregulated","Discordant_direction",0.0335384362699477
"ENSG00000197249.16","ENSG00000197249","SERPINA1","protein_coding",653.511126173827,3.47595496157383,4.70002608972934e-08,3.48916447840761e-07,"Upregulated",653.511126173827,-1.88132573947534,0.0249212182554627,0.0346003348302515,"Downregulated","Discordant_direction",0.0346003348302515
"ENSG00000136155.19","ENSG00000136155","SCEL","protein_coding",32.6422455261743,2.77687272826724,0.0166014770922041,0.0351480797692069,"Upregulated",32.6422455261743,-1.27342830506708,3.39675629292518e-07,7.93836352154034e-07,"Downregulated","Discordant_direction",0.0351480797692069
"ENSG00000259439.4","ENSG00000259439","LINC01833","lncRNA",9.20657698136598,1.0579777978216,0.0200130484334773,0.0413323497075606,"Upregulated",9.20657698136598,-1.0145782505092,0.017998656172407,0.0254648565118151,"Downregulated","Discordant_direction",0.0413323497075606
"ENSG00000184613.13","ENSG00000184613","NELL2","protein_coding",433.600987091161,1.39624614334549,3.45003507448253e-23,1.90106115206847e-21,"Upregulated",433.600987091161,-1.4631889289587,0.0302215364378304,0.04151772737293,"Downregulated","Discordant_direction",0.04151772737293
"ENSG00000023171.22","ENSG00000023171","GRAMD1B","protein_coding",42.2156078506873,1.19856961141748,0.0201497987921712,0.0415792231377111,"Upregulated",42.2156078506873,-1.80402431596922,4.28688243490156e-07,9.92103165867029e-07,"Downregulated","Discordant_direction",0.0415792231377111
"ENSG00000255468.8","ENSG00000255468","B4GAT1-DT","lncRNA",19.7963981646117,1.4678975223543,0.0203579290093653,0.0419549356091755,"Upregulated",19.7963981646117,-2.51595264061784,2.91019472662878e-11,9.41185940154079e-11,"Downregulated","Discordant_direction",0.0419549356091755
"ENSG00000272851.1","ENSG00000272851","ENSG00000272851","lncRNA",10.0156637811295,1.20763923735975,0.0218529855906032,0.04451884871827,"Upregulated",10.0156637811295,-1.3021584228249,0.0127376008267144,0.0183931159008316,"Downregulated","Discordant_direction",0.04451884871827
"ENSG00000003436.18","ENSG00000003436","TFPI","protein_coding",58.0940351845656,-1.4001723994818,0.0220258483516747,0.0448123816246623,"Downregulated",58.0940351845656,1.89420186899549,2.84921740948266e-27,2.640080479426e-26,"Upregulated","Discordant_direction",0.0448123816246623
"ENSG00000109099.18","ENSG00000109099","PMP22","protein_coding",32.1332805991548,-2.6536253243743,0.0221884768116439,0.0450736481573232,"Downregulated",32.1332805991548,2.57545718247371,2.03382283696545e-21,1.31816460435167e-20,"Upregulated","Discordant_direction",0.0450736481573232
